state_,total_population,demo_age_5_17,demo_age_17_,child_population,adult_population,child_ratio_%,adult_ratio_%,Child_Rank
ladakh,5735,1375,4360,1375,4360,23.975588491717524,76.02441150828247,1
arunachal pradesh,36443,5783,30660,5783,30660,15.868616743956315,84.13138325604368,2
dadra and nagar haveli and daman and diu,12204,1923,10281,1923,10281,15.757128810226156,84.24287118977385,3
chandigarh,83361,13133,70228,13133,70228,15.75436954930963,84.24563045069037,4
karnataka,1695285,264981,1430304,264981,1430304,15.630469213141154,84.36953078685885,5
telangana,1629908,242259,1387649,242259,1387649,14.863354250669364,85.13664574933064,6
lakshadweep,1176,170,1006,170,1006,14.45578231292517,85.54421768707483,7
puducherry,32763,4696,28067,4696,28067,14.333241766626989,85.666758233373,8
tamil nadu,2212228,315638,1896590,315638,1896590,14.26787835611881,85.73212164388119,9
jammu and kashmir,407202,57873,349329,57873,349329,14.212356520842235,85.78764347915777,10
andhra pradesh,2295582,321148,1974434,321148,1974434,13.989829158792846,86.01017084120716,11
madhya pradesh,2912938,407098,2505840,407098,2505840,13.975512008837812,86.02448799116219,12
manipur,301549,41464,260085,41464,260085,13.750335766326534,86.24966423367346,13
odisha,1112065,147499,964566,147499,964566,13.263523265276762,86.73647673472324,14
himachal pradesh,149214,19424,129790,19424,129790,13.01754527055102,86.98245472944897,15
mizoram,41906,5302,36604,5302,36604,12.652126187180833,87.34787381281916,16
delhi,1438934,175535,1263399,175535,1263399,12.198961175425698,87.8010388245743,17
haryana,1166140,139314,1026826,139314,1026826,11.946593033426518,88.05340696657348,18
nagaland,36791,4314,32477,4314,32477,11.725693783805822,88.27430621619418,19
gujarat,1824327,208474,1615853,208474,1615853,11.427446943448187,88.57255305655181,20
uttarakhand,463637,49926,413711,49926,413711,10.768338161104484,89.23166183889552,21
meghalaya,87378,8426,78952,8426,78952,9.643159605392663,90.35684039460735,22
goa,35120,3275,31845,3275,31845,9.325170842824601,90.6748291571754,23
uttar pradesh,8542328,790308,7752020,790308,7752020,9.251670036552097,90.7483299634479,24
rajasthan,2817615,257224,2560391,257224,2560391,9.129139360771433,90.87086063922857,25
tripura,138013,11791,126222,11791,126222,8.54339808568758,91.45660191431242,26
andaman and nicobar islands,7246,617,6629,617,6629,8.515042782224675,91.48495721777532,27
assam,1012578,84480,928098,84480,928098,8.343060979006061,91.65693902099393,28
chhattisgarh,2005438,165207,1840231,165207,1840231,8.237951011200547,91.76204898879945,29
kerala,744952,61064,683888,61064,683888,8.197038198434262,91.80296180156574,30
bihar,4814350,380023,4434327,380023,4434327,7.893547415538962,92.10645258446104,31
sikkim,20340,1555,18785,1555,18785,7.64503441494592,92.35496558505409,32
jharkhand,1401189,99376,1301813,99376,1301813,7.092262357183792,92.90773764281622,33
punjab,881895,56866,825029,56866,825029,6.448159928336141,93.55184007166386,34
west bengal,3872737,242561,3630176,242561,3630176,6.263296474818714,93.73670352518128,35
maharashtra,5054602,273322,4781280,273322,4781280,5.4073891475530615,94.59261085244694,36
